,source,target,retweetCount,hashtags
356,serranourib,ivanduque,0,[]
357,serranourib,barevalodeleon,0,[]
358,arnulfodivas2,__vadertg,0,[]
359,arnulfodivas2,barevalodeleon,0,[]
360,arnulfodivas2,usaidguate,0,[]
361,arnulfodivas2,congresoguate,0,[]
362,doodiegt,__vadertg,0,[]
363,doodiegt,barevalodeleon,0,[]
364,doodiegt,usaidguate,0,[]
365,doodiegt,congresoguate,0,[]
366,santanachapin,factor4_gt,0,[]
367,santanachapin,barevalodeleon,0,[]
368,mariabonita9697,tumbadorense,0,[]
369,mariabonita9697,emisorasunidas,0,[]
370,mariabonita9697,mingobguate,0,[]
371,mariabonita9697,ejercito_gt,0,[]
372,mariabonita9697,barevalodeleon,0,[]
373,claudiarod14rod,mendiamariela,0,[]
374,claudiarod14rod,barevalodeleon,0,[]
375,rrolob,ivanduque,0,[]
376,rrolob,barevalodeleon,0,[]
377,alvaradoanaite,barevalodeleon,0,[]
378,adolforojas07,barevalodeleon,0,[]
379,eriol_gt,alvaroarzue,39,[]
380,eriol_gt,avillagran502,39,[]
381,lachogt1,rafaelcarrerra,0,[]
382,lachogt1,barevalodeleon,0,[]
383,andrsva96658459,ivanduque,0,[]
384,andrsva96658459,barevalodeleon,0,[]
385,pollosdb,ejercito_gt,0,[]
386,pollosdb,santipalomov,0,[]
387,pollosdb,msemillagt,0,[]
388,pollosdb,barevalodeleon,0,[]
389,pollosdb,srmindefgt,0,[]
390,karranch0,ivanduque,0,[]
391,karranch0,barevalodeleon,0,[]
392,erickalbert76,xelanewsgt,0,[]
393,erickalbert76,guatemalagob,0,[]
394,erickalbert76,barevalodeleon,0,[]
395,erickalbert76,aztecanoticiagt,0,[]
396,erickalbert76,elbencho_gt,0,[]
397,erickalbert76,onlyenmiguate,0,[]
398,erickalbert76,congresoguate,0,[]
399,charlyvazz,ivanduque,0,[]
400,charlyvazz,barevalodeleon,0,[]
401,hugodel16107145,jsandoval1982,0,[]
